Temp,S,Chi
0.500000,0.243792,0.051463
0.527488,0.249166,0.061396
0.556488,0.339011,0.079814
0.587081,0.216904,0.047122
0.619357,0.219569,0.042470
0.653407,0.296307,0.077971
0.689329,0.190392,0.038871
0.727225,0.284735,0.069292
0.767206,0.383566,0.099587
0.809384,0.242798,0.047705
0.853881,0.346257,0.092258
0.900824,0.378996,0.111306
0.950348,0.322863,0.062242
1.002595,0.302590,0.071333
1.057714,0.330379,0.062620
1.115863,0.276158,0.062340
1.177209,0.302683,0.076685
1.241928,0.305924,0.072535
1.310205,0.478997,0.107667
1.382235,0.326579,0.080388
1.458225,0.406053,0.115485
1.538393,0.348538,0.085942
1.622968,0.366014,0.094022
1.712193,0.443766,0.114711
1.806323,0.371515,0.093762
1.905628,0.540558,0.156952
2.010393,0.491328,0.137468
2.120917,0.596954,0.161912
2.237517,0.503117,0.132903
2.360528,0.514062,0.138224
2.490301,0.659136,0.232495
2.627209,0.605139,0.182717
2.771643,0.625452,0.205171
2.924018,0.636469,0.168015
3.084770,0.725418,0.194773
3.254359,0.774026,0.271258
3.433272,0.690687,0.189648
3.622021,0.756812,0.238236
3.821146,0.863621,0.328260
4.031219,0.922987,0.303134
4.252840,1.025119,0.387171
4.486646,0.981425,0.393395
4.733306,1.022218,0.376867
4.993526,1.071838,0.423558
5.268051,1.087915,0.454826
5.557670,1.141904,0.568940
5.863210,1.124428,0.459046
6.185548,1.163022,0.529488
6.525607,1.186968,0.613215
6.884361,1.240012,0.650835
7.262838,1.266751,0.733199
7.662123,1.273259,0.739462
8.083358,1.281678,0.728498
8.527752,1.298587,0.690659
8.996576,1.302379,0.672704
9.491175,1.320971,0.760523
10.01296,1.363621,0.881335
10.56344,1.331593,0.832700
11.14418,1.349850,0.848984
11.75684,1.331883,0.841841
12.40319,1.342866,0.854855
13.08507,1.349549,0.847672
13.80445,1.360987,0.877008
14.56336,1.363113,0.882507
15.36400,1.359588,0.926551
16.20866,1.363104,0.906827
17.09975,1.378325,0.924866
18.03984,1.373590,0.913420
19.03160,1.369947,0.853614
20.07789,1.373824,0.924470
21.18170,1.378263,0.937679
22.34619,1.374198,0.913435
23.57471,1.379646,0.907949
24.87076,1.377505,0.900079
26.23806,1.380643,0.925865
27.68053,1.381081,0.925262
29.20231,1.383557,0.933367
30.80775,1.381179,0.932012
32.50144,1.383605,0.971129
34.28826,1.383695,0.942245
36.17330,1.381316,0.959912
38.16198,1.383983,0.985149
40.25998,1.386105,1.001631
42.47333,1.384759,0.976382
44.80836,1.384994,1.002476
47.27176,1.384270,1.011940
49.87059,1.384950,1.010405
52.61229,1.385639,0.992072
55.50473,1.385033,1.037452
58.55617,1.385524,0.993365
61.77538,1.384842,1.017642
65.17157,1.385302,1.020326
68.75446,1.385776,0.995324
72.53433,1.386092,1.010214
76.52200,1.385779,0.993823
80.72891,1.385635,0.980733
85.16709,1.386015,1.008445
89.84926,1.386115,1.007329
94.78885,1.386165,1.005049
100.0000,1.385581,0.972382
