Temp,S,Chi
0.500000,0.062431,0.009093
0.527488,0.060838,0.008462
0.556488,0.058178,0.008618
0.587081,0.061985,0.010832
0.619357,0.065239,0.010965
0.653407,0.067792,0.010545
0.689329,0.071138,0.010382
0.727225,0.069499,0.011499
0.767206,0.070167,0.009585
0.809384,0.068741,0.010989
0.853881,0.073491,0.013003
0.900824,0.074028,0.010428
0.950348,0.082574,0.012402
1.002595,0.080324,0.013533
1.057714,0.087899,0.013524
1.115863,0.086185,0.015327
1.177209,0.096110,0.010446
1.241928,0.096604,0.016475
1.310205,0.105370,0.014945
1.382235,0.113232,0.017536
1.458225,0.115106,0.017493
1.538393,0.124581,0.022950
1.622968,0.135347,0.024930
1.712193,0.147963,0.028340
1.806323,0.157483,0.029740
1.905628,0.181433,0.033154
2.010393,0.199775,0.041626
2.120917,0.221448,0.046920
2.237517,0.249815,0.054688
2.360528,0.286591,0.065785
2.490301,0.325895,0.076975
2.627209,0.370081,0.091045
2.771643,0.419813,0.107837
2.924018,0.473479,0.127136
3.084770,0.530060,0.146512
3.254359,0.588387,0.172160
3.433272,0.647824,0.198824
3.622021,0.707373,0.222100
3.821146,0.768261,0.235685
4.031219,0.823515,0.280075
4.252840,0.878832,0.287546
4.486646,0.931164,0.352214
4.733306,0.980188,0.382471
4.993526,1.025464,0.412314
5.268051,1.067054,0.436151
5.557670,1.104487,0.467071
5.863210,1.138202,0.512416
6.185548,1.168338,0.533375
6.525607,1.194890,0.567180
6.884361,1.218466,0.596381
7.262838,1.239117,0.624149
7.662123,1.257270,0.646856
8.083358,1.273134,0.668142
8.527752,1.287063,0.687855
8.996576,1.299190,0.707094
9.491175,1.309788,0.725227
10.01296,1.319037,0.744737
10.56344,1.327142,0.758041
11.14418,1.334215,0.790475
11.75684,1.340395,0.786598
12.40319,1.345837,0.803203
13.08507,1.350562,0.811842
13.80445,1.354966,0.901443
14.56336,1.358440,0.892136
15.36400,1.361636,0.893930
16.20866,1.364440,0.875216
17.09975,1.366921,0.861434
18.03984,1.369132,0.864378
19.03160,1.371084,0.864992
20.07789,1.372758,0.883217
21.18170,1.374256,0.888151
22.34619,1.375589,0.895220
23.57471,1.376789,0.897816
24.87076,1.377858,0.903491
26.23806,1.378759,0.912709
27.68053,1.379578,0.917733
29.20231,1.380355,0.919875
30.80775,1.381015,0.924272
32.50144,1.381559,0.929770
34.28826,1.382081,0.936153
36.17330,1.382514,0.935265
38.16198,1.382948,0.936057
40.25998,1.383268,0.941037
42.47333,1.383613,0.950430
44.80836,1.383917,0.979836
47.27176,1.384182,0.987539
49.87059,1.384389,0.979212
52.61229,1.384594,0.956675
55.50473,1.384818,0.979844
58.55617,1.385077,0.973571
61.77538,1.385110,0.986922
65.17157,1.385244,0.984282
68.75446,1.385366,0.986027
72.53433,1.385879,0.997486
76.52200,1.385650,0.986376
80.72891,1.385833,0.993070
85.16709,1.385970,0.998386
89.84926,1.385855,0.993978
94.78885,1.386019,0.984699
100.0000,1.385861,0.975924
