Temp,S,Chi
0.500000,0.483531,0.159413
0.527488,0.423629,0.165781
0.556488,0.493609,0.240671
0.587081,0.590116,0.243641
0.619357,0.761964,0.308888
0.653407,0.505833,0.245895
0.689329,0.474716,0.189059
0.727225,0.598658,0.283606
0.767206,0.510638,0.186507
0.809384,0.628011,0.232232
0.853881,0.708474,0.317355
0.900824,0.476411,0.188292
0.950348,0.563859,0.212874
1.002595,0.433500,0.154024
1.057714,0.650335,0.225229
1.115863,0.627388,0.191880
1.177209,0.613548,0.220195
1.241928,0.659175,0.290335
1.310205,0.612181,0.385098
1.382235,0.623136,0.325132
1.458225,0.765728,0.353982
1.538393,0.600182,0.298449
1.622968,0.553902,0.274749
1.712193,0.598745,0.241068
1.806323,0.665938,0.313037
1.905628,0.669004,0.362441
2.010393,0.640884,0.298387
2.120917,0.669545,0.303887
2.237517,0.677523,0.335845
2.360528,0.738492,0.346017
2.490301,0.876946,0.478930
2.627209,0.801202,0.433906
2.771643,0.869166,0.491718
2.924018,0.920965,0.432667
3.084770,0.803804,0.432069
3.254359,0.983108,0.656992
3.433272,0.861069,0.473902
3.622021,0.836455,0.467260
3.821146,1.060171,0.752146
4.031219,1.013752,0.601135
4.252840,1.074435,0.674227
4.486646,1.117049,0.745963
4.733306,1.097777,0.778329
4.993526,1.092492,0.774599
5.268051,1.090066,0.777021
5.557670,1.159562,0.609110
5.863210,1.245215,0.740952
6.185548,1.217646,0.840058
6.525607,1.263543,0.796980
6.884361,1.276132,0.856760
7.262838,1.301305,0.718608
7.662123,1.316760,0.797732
8.083358,1.311598,0.732218
8.527752,1.364067,0.952671
8.996576,1.357123,1.236153
9.491175,1.383122,1.009035
10.01296,1.370925,1.142644
10.563442,1.378188,1.022496
11.144182,1.355047,0.938719
11.756848,1.371191,1.143922
12.403197,1.376109,1.093212
13.085079,1.382413,1.077016
13.804450,1.383849,1.059948
14.563368,1.383614,0.991426
15.364009,1.382873,0.983578
16.208666,1.380885,1.009564
17.099759,1.380945,1.052353
18.039842,1.383492,0.980717
19.031607,1.384227,1.021604
20.077895,1.382512,0.977990
21.181705,1.381025,0.955553
22.346198,1.381612,0.950658
23.574710,1.383846,1.012618
24.870762,1.384156,1.006903
26.238066,1.384619,1.027840
27.680539,1.384432,0.998609
29.202314,1.379938,0.981560
30.807751,1.386279,0.998779
32.501449,1.385722,0.983044
34.288261,1.385842,0.995465
36.173304,1.385381,1.003605
38.161981,1.385815,1.004150
40.259988,1.384997,1.026633
42.473335,1.386099,1.001236
44.808364,1.386104,1.001762
47.271765,1.382568,0.987724
49.870595,1.385769,1.020314
52.612298,1.384490,1.024553
55.504731,1.385624,1.017478
58.556179,1.385778,0.980291
61.775384,1.386035,1.011192
65.171570,1.386054,0.981656
68.754465,1.386206,0.993234
72.534335,1.385797,1.002112
76.522009,1.386284,0.998868
80.728910,1.386009,1.002564
85.167092,1.385167,0.985547
89.849268,1.386289,0.997495
94.788854,1.386034,0.976607
100.00000,1.386288,1.001558
